drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,100,tensor([19]),PAIR_0,-0.4157547652721405,-0.09613516181707382,0.6166927165996295,0.801428602690813,0.30719342053677035,300.3620000000002,1.0227439574139543
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,100,tensor([19]),PAIR_1,-2.5325276851654053,-0.25440913438796997,0.9980639815238019,0.5566610899390119,0.0010777061551024796,463.79600000000016,0.0023236641866304997
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,100,tensor([19]),PAIR_2,-0.7886033654212952,-0.6971526741981506,0.838134732435978,0.20083866495388392,0.032508804239961386,323.371,0.10053098218443024
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,100,tensor([19]),PAIR_3,-1.934609293937683,0.8395843505859375,0.9893644247988462,6.911691582855427,0.07350981559664042,434.92600000000016,0.16901683412038002
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,100,tensor([19]),PAIR_4,-0.4868769347667694,-1.0360397100448608,0.674745699864509,0.09203654135970771,0.029935280846842896,335.8790000000001,0.08912519343824082
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,100,tensor([19]),PAIR_5,-1.5037028789520264,-0.9958103895187378,0.9696153144723826,0.1009693616304479,0.0030679223010654393,427.5640000000002,0.007175352230462429
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,100,tensor([19]),PAIR_6,-0.9943476915359497,0.009055599570274353,0.8995895911987015,1.02107019554635,0.10252607574963077,367.4090000000001,0.2790516175423866
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,100,tensor([19]),PAIR_7,-0.9362111687660217,-0.6361238956451416,0.8850636580476534,0.2311405297792746,0.026566446969757254,378.4320000000002,0.07020137559655959
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,100,tensor([19]),PAIR_8,-0.834626317024231,0.357310026884079,0.8545109282286293,2.27672211912389,0.3312381877926829,422.5250000000002,0.7839493232179935
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,100,tensor([19]),PAIR_9,-1.4881274700164795,0.04695168882608414,0.968469279796564,1.114170585705769,0.035130600996786956,337.38300000000004,0.10412676689930125
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,100,tensor([19]),PAIR_10,-1.4097126722335815,0.3793303668498993,0.9620317696581495,2.395137039032216,0.09093911479827292,435.2270000000001,0.20894639992066877
BAY2413555,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,100,tensor([19]),PAIR_11,-1.268877625465393,-0.21756455302238464,0.9471049573222061,0.6059481264142131,0.032051652007209046,584.3950000000003,0.05484586967241169
NVP-DFV890,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,100,tensor([19]),PAIR_12,-1.2667597532272339,0.2023371160030365,0.9468414870021801,1.5934451402334948,0.08470517419841524,420.56000000000034,0.20141043893478974
AZD4144,,OC[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2O)c2ccccc12,100,tensor([19]),PAIR_13,-1.733238697052002,-0.15780432522296906,0.9824999749477655,0.695337536789802,0.012168424313580542,379.3380000000001,0.03207805259051437
JT001,Renal and urinary disorders,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,100,tensor([19]),PAIR_14,-1.5466102361679077,0.7515718936920166,0.9725678968674466,5.643803618957718,0.15482140293512622,402.47600000000017,0.38467238527297565
sovleplenib,,CS(=O)(=O)N1CCC(c2ccc(-c3cc4nccnc4c(NC[C@@H]4CNCCO4)n3)cc2)CC1,100,tensor([19]),PAIR_15,-0.7442043423652649,-0.15522880852222443,0.8206036444161173,0.6994733805933974,0.1254829753063936,482.61000000000035,0.26000906592568224
STX-478,Off-target side effects hyperglycemia and rash,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,100,tensor([19]),PAIR_16,-1.7238270044326782,-0.21422924101352692,0.982094659101706,0.6106196261230245,0.010933352564921573,401.2950000000001,0.027245175157730776
