drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,25,tensor([5]),PAIR_0,-0.41575461626052856,-0.6606627702713013,0.616692584738855,0.21844254601502575,0.08373064769608324,300.3620000000002,0.27876578161046733
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,25,tensor([5]),PAIR_1,-2.5325279235839844,-0.8317686319351196,0.9980639831361637,0.1473097078022772,0.0002851940785120013,463.79600000000016,0.000614912760161798
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,25,tensor([5]),PAIR_2,-0.7886034846305847,-1.2767002582550049,0.8381347771410578,0.05288101004721054,0.008559596476297697,323.371,0.02646989518632684
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,25,tensor([5]),PAIR_3,-1.934609055519104,0.318830281496048,0.9893644184106077,2.0836764413498092,0.022161110797870417,434.92600000000016,0.050953750288256876
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,25,tensor([5]),PAIR_4,-0.4868766963481903,-1.6111379861831665,0.6747455207571292,0.02448285237003898,0.007963157397997113,335.8790000000001,0.023708411058735765
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,25,tensor([5]),PAIR_5,-1.5037026405334473,-1.5757392644882202,0.969615297242293,0.026561997746163937,0.0008070784061680744,427.5640000000002,0.0018876201134054177
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,25,tensor([5]),PAIR_6,-0.9943467378616333,-0.5553671717643738,0.8995893685074928,0.2783766654005934,0.02795197676565196,367.4090000000001,0.07607863924305597
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,25,tensor([5]),PAIR_7,-0.9362114071846008,-1.186501383781433,0.8850637216948103,0.06508765369657932,0.00748093267950185,378.4320000000002,0.019768234925962514
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,25,tensor([5]),PAIR_8,-0.8346264958381653,-0.1813068836927414,0.8545109885436043,0.6587082704831967,0.0958348151107524,422.5250000000002,0.22681454378025523
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,25,tensor([5]),PAIR_9,-1.48812735080719,-0.5159978270530701,0.9684692708669459,0.30479102394893215,0.009610283218319986,337.38300000000004,0.02848478796596149
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,25,tensor([5]),PAIR_10,-1.4097130298614502,-0.1594872921705246,0.9620318017480746,0.6926481966218643,0.026298604048177573,435.2270000000001,0.060425028888781186
BAY2413555,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,25,tensor([5]),PAIR_11,-1.2688777446746826,-0.7779799699783325,0.947104972116104,0.1667324109148414,0.008819315524489741,584.3950000000003,0.01509136033759655
NVP-DFV890,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,25,tensor([5]),PAIR_12,-1.2667597532272339,-0.33273059129714966,0.9468414870021801,0.4648035203808873,0.024708263979599857,420.56000000000034,0.05875086546414266
AZD4144,,OC[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2O)c2ccccc12,25,tensor([5]),PAIR_13,-1.7332388162612915,-0.7344871759414673,0.9824999800261027,0.1842946907599077,0.003225160769381606,379.3380000000001,0.00850207669514155
JT001,Renal and urinary disorders,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,25,tensor([5]),PAIR_14,-1.5466104745864868,0.23571453988552094,0.9725679124766212,1.7207371691825661,0.04720341262974719,402.47600000000017,0.11728255257393527
sovleplenib,,CS(=O)(=O)N1CCC(c2ccc(-c3cc4nccnc4c(NC[C@@H]4CNCCO4)n3)cc2)CC1,25,tensor([5]),PAIR_15,-0.7442044615745544,-0.704992413520813,0.8206036939332967,0.19724571917097483,0.03538515340674321,482.61000000000035,0.07332038997688234
STX-478,Off-target side effects hyperglycemia and rash,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,25,tensor([5]),PAIR_16,-1.7238272428512573,-0.7620205283164978,0.9820946694808891,0.17297345958495833,0.0030971469649027535,401.2950000000001,0.007717880773253473
inavolisib,hyperglycemia and rash,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,25,tensor([5]),PAIR_17,-0.3824687600135803,-0.48761478066444397,0.5860796801388752,0.3253757778378162,0.13467964603769114,407.37700000000007,0.3306019879317956
alpelisib,hyperglycemia and rash,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,25,tensor([5]),PAIR_18,-0.8318260908126831,-0.6184483170509338,0.8535633439093527,0.2407418995428265,0.035253438749962035,441.4790000000001,0.07985303661094192
Duvelisib,"common severe side effects include neutropenia (30%), diarrhea (15%), anemia (13%), and colitis (12%)",C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,25,tensor([5]),PAIR_19,-1.2441545724868774,0.06454300880432129,0.9439478100471328,1.1602271094106769,0.0650332703251533,416.8720000000002,0.1560029705164973
Idelalisib,has a higher rate of severe or potentially fatal liver toxicity,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,25,tensor([5]),PAIR_20,-1.4180078506469727,-0.3592696189880371,0.9627690323744879,0.4372505666920736,0.01627926169274943,415.43200000000013,0.0391863450402218
