drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,200,tensor([30]),PAIR_0,-0.415754497051239,0.14262351393699646,0.6166924792502028,1.3887482156380087,0.5323176354819099,300.3620000000002,1.7722535989303225
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,200,tensor([30]),PAIR_1,-2.5325276851654053,-0.027374185621738434,0.9980639815238019,0.9389139990772316,0.001817754849774533,463.79600000000016,0.003919298247019234
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,200,tensor([30]),PAIR_2,-0.7886033654212952,-0.47510403394699097,0.838134732435978,0.33488520879643496,0.05420628392506831,323.371,0.167628772911202
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,200,tensor([30]),PAIR_3,-1.934609055519104,1.083980679512024,0.9893644184106077,12.133348715538485,0.12904522021665737,434.92600000000016,0.2967061528091154
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,200,tensor([30]),PAIR_4,-0.48687663674354553,-0.805762767791748,0.674745475980269,0.15640017411459034,0.05086986418824413,335.8790000000001,0.15145294641297644
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,200,tensor([30]),PAIR_5,-1.5037027597427368,-0.7682914733886719,0.969615305857339,0.1704937749130181,0.005180401203959741,427.5640000000002,0.012116083683284231
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,200,tensor([30]),PAIR_6,-0.9943471550941467,0.2505303621292114,0.8995894659349568,1.7804523783964423,0.17877617419216313,367.4090000000001,0.4865862681430316
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,200,tensor([30]),PAIR_7,-0.9362114071846008,-0.41507259011268616,0.8850637216948103,0.38452750485798204,0.04419616031435721,378.4320000000002,0.11678758750411485
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,200,tensor([30]),PAIR_8,-0.834626317024231,0.6023967266082764,0.8545109282286293,4.003102649229097,0.5824076886418564,422.5250000000002,1.3783981744082743
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,200,tensor([30]),PAIR_9,-1.4881278276443481,0.29079243540763855,0.968469306585404,1.9534056314529111,0.06159223407968709,337.38300000000004,0.1825587954333416
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,200,tensor([30]),PAIR_10,-1.4097129106521606,0.6233733892440796,0.9620317910514359,4.201200313729282,0.1595120513464465,435.2270000000001,0.36650311526271684
BAY2413555,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,200,tensor([30]),PAIR_11,-1.2688779830932617,0.012696564197540283,0.9471050017038875,1.0296664547460115,0.05446420536935453,584.3950000000003,0.09319758959155108
NVP-DFV890,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,200,tensor([30]),PAIR_12,-1.266759991645813,0.45359259843826294,0.9468415167346114,2.8417940357345763,0.15106546069227772,420.56000000000034,0.3592007340029427
AZD4144,,OC[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2O)c2ccccc12,200,tensor([30]),PAIR_13,-1.7332385778427124,0.07662978768348694,0.9824999698694268,1.1929707285335438,0.0208770236942289,379.3380000000001,0.05503541352099947
JT001,Renal and urinary disorders,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,200,tensor([30]),PAIR_14,-1.5466103553771973,1.001490592956543,0.972567904672035,10.034381139230799,0.2752640999685131,402.47600000000017,0.6839267433797617
sovleplenib,,CS(=O)(=O)N1CCC(c2ccc(-c3cc4nccnc4c(NC[C@@H]4CNCCO4)n3)cc2)CC1,200,tensor([30]),PAIR_15,-0.7442043423652649,0.0760267898440361,0.8206036444161173,1.191315493123896,0.213717657817043,482.61000000000035,0.44283719321407106
STX-478,Off-target side effects hyperglycemia and rash,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,200,tensor([30]),PAIR_16,-1.7238274812698364,0.01705820858478546,0.9820946798600666,1.0400595558982957,0.018622599312955943,401.2950000000001,0.046406258022043484
inavolisib,hyperglycemia and rash,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,200,tensor([30]),PAIR_17,-0.382468581199646,0.3031551241874695,0.5860795093015007,2.0098105619007853,0.8319017739929998,407.37700000000007,2.042093132388426
alpelisib,hyperglycemia and rash,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,200,tensor([30]),PAIR_18,-0.831826388835907,0.18438003957271576,0.8535634450845521,1.528903375786423,0.22388734314876227,441.4790000000001,0.5071302217064962
Duvelisib,"common severe side effects include neutropenia (30%), diarrhea (15%), anemia (13%), and colitis (12%)",C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,200,tensor([30]),PAIR_19,-1.2441545724868774,0.8378527760505676,0.9439478100471328,6.88418885761612,0.38587386151851066,416.8720000000002,0.9256411117045772
Idelalisib,has a higher rate of severe or potentially fatal liver toxicity,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,200,tensor([30]),PAIR_20,-1.4180083274841309,0.4213145077228546,0.9627690743515657,2.6382412578451935,0.09822416411346627,415.43200000000013,0.23643860875779005
Leniolisib,,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,200,tensor([30]),PAIR_21,-1.0992275476455688,0.8211877346038818,0.9213471157431182,6.625028251552318,0.5210775802679163,450.4650000000002,1.1567548650126336
Copanlisib,increase blood pressure,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,200,tensor([30]),PAIR_22,-0.6942348480224609,-0.4749336242675781,0.7986060549045799,0.3350166377717086,0.06747032235344771,480.5290000000002,0.14040842977936335
