drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,10,tensor([2]),PAIR_0,-0.4157543480396271,-0.9876793622970581,0.6166923473893469,0.10287755582757394,0.03943375443058878,300.3620000000002,0.1312874279389162
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,10,tensor([2]),PAIR_1,-2.5325276851654053,-1.1602957248687744,0.9980639815238019,0.06913600416509838,0.00013384858143413684,463.79600000000016,0.0002885936520240295
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,10,tensor([2]),PAIR_2,-0.7886033654212952,-1.5928236246109009,0.838134732435978,0.025537382145746076,0.004133615193905866,323.371,0.01278288774783721
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,10,tensor([2]),PAIR_3,-1.9346089363098145,-0.0006149481050670147,0.9893644152164872,0.9985850316733133,0.010620535767908324,434.92600000000016,0.02441917882101397
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,10,tensor([2]),PAIR_4,-0.4868766963481903,-1.926229476928711,0.6747455207571292,0.011851423651361293,0.0038547286280101595,335.8790000000001,0.011476539551475855
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,10,tensor([2]),PAIR_5,-1.5037028789520264,-1.9022191762924194,0.9696153144723826,0.012525089091554566,0.0003805708932522768,427.5640000000002,0.0008900910583030298
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,10,tensor([2]),PAIR_6,-0.9943476319313049,-0.8806068301200867,0.8995895772805154,0.13164160537061315,0.013218189242734844,367.4090000000001,0.035976770418620234
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,10,tensor([2]),PAIR_7,-0.9362117648124695,-1.5077385902404785,0.8850638171654799,0.031064288416077834,0.0035704107330145874,378.4320000000002,0.009434748470041079
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,10,tensor([2]),PAIR_8,-0.8346261978149414,-0.5030642747879028,0.854510888018632,0.314004393873373,0.04568422042288476,422.5250000000002,0.10812193461424706
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,10,tensor([2]),PAIR_9,-1.488127589225769,-0.8433747291564941,0.9684692887261799,0.14342513615780136,0.0045222965575999734,337.38300000000004,0.013404043942937175
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,10,tensor([2]),PAIR_10,-1.4097126722335815,-0.48209473490715027,0.9620317696581495,0.3295378205432498,0.012511967876737497,435.2270000000001,0.028748142639903992
