drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,350,tensor([42]),PAIR_0,-0.415754497051239,0.4434340298175812,0.6166924792502028,2.776093120093564,1.064097371233633,300.3620000000002,3.542716359704731
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,350,tensor([42]),PAIR_1,-2.5325281620025635,0.2912522256374359,0.9980639847485246,1.95547480909968,0.0037858290542928364,463.79600000000016,0.008162703115794088
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,350,tensor([42]),PAIR_2,-0.7886032462120056,-0.17577190697193146,0.8381346877308857,0.6671570705151839,0.10798958755148773,323.371,0.3339495117109689
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,350,tensor([42]),PAIR_3,-1.9346086978912354,1.3961111307144165,0.9893644088282434,24.894942683110802,0.26477243262188005,434.92600000000016,0.6087758207646357
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,350,tensor([42]),PAIR_4,-0.4868767261505127,-0.49904969334602356,0.6747455431455571,0.3169204811873831,0.10307979897465097,335.8790000000001,0.30689563495976513
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,350,tensor([42]),PAIR_5,-1.5037026405334473,-0.4573025405406952,0.969615297242293,0.34889718018488214,0.010601137112919783,427.5640000000002,0.024794269660026985
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,350,tensor([42]),PAIR_6,-0.9943469762802124,0.5482172966003418,0.8995894241803408,3.5335992705705563,0.3548107374739172,367.4090000000001,0.9657105228067824
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,350,tensor([42]),PAIR_7,-0.9362116456031799,-0.11850376427173615,0.8850637853419321,0.7611955412721554,0.08748893412842064,378.4320000000002,0.23118799184112496
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,350,tensor([42]),PAIR_8,-0.8346265554428101,0.9338510632514954,0.8545110086485905,8.587189823135885,1.2493415859111283,422.5250000000002,2.9568465437811438
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,350,tensor([42]),PAIR_9,-1.488127589225769,0.58730149269104,0.9684692887261799,3.866352909911839,0.12190885728512446,337.38300000000004,0.36133669237965294
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,350,tensor([42]),PAIR_10,-1.4097132682800293,0.9490755200386047,0.9620318231413434,8.893557556544286,0.3376721662095154,435.2270000000001,0.7758529829480141
BAY2413555,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,350,tensor([42]),PAIR_11,-1.2688779830932617,0.3404273986816406,0.9471050017038875,2.1899157076958944,0.11583558762720444,584.3950000000003,0.19821454260766158
NVP-DFV890,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,350,tensor([42]),PAIR_12,-1.266760230064392,0.7615469694137573,0.9468415464670263,5.774933258589697,0.30698652128276455,420.56000000000034,0.7299470260670636
