drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,50,tensor([10]),PAIR_0,-0.41575485467910767,-0.35573282837867737,0.6166927957160726,0.44082596980495714,0.16897177006168912,300.3620000000002,0.5625604106434536
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,50,tensor([10]),PAIR_1,-2.5325281620025635,-0.5229547023773193,0.9980639847485246,0.29994753528434703,0.0005807030029529376,463.79600000000016,0.0012520655696748946
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,50,tensor([10]),PAIR_2,-0.7886032462120056,-0.9822008609771729,0.8381346877308857,0.10418354695735899,0.01686370236155684,323.371,0.05214970532780256
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,50,tensor([10]),PAIR_3,-1.934609055519104,0.6374781131744385,0.9893644184106077,4.339883916938618,0.046157189487091944,434.92600000000016,0.10612653528897313
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,50,tensor([10]),PAIR_4,-0.48687684535980225,-1.3084673881530762,0.6747456326992531,0.04915102870841199,0.015986586744735385,335.8790000000001,0.047596267539010716
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,50,tensor([10]),PAIR_5,-1.5037026405334473,-1.2693208456039429,0.969615297242293,0.05378722694862055,0.0016343089029951627,427.5640000000002,0.003822372564096046
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,50,tensor([10]),PAIR_6,-0.9943472743034363,-0.24549852311611176,0.8995894937713579,0.56820032380752,0.05705328215279145,367.4090000000001,0.15528547790824784
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,50,tensor([10]),PAIR_7,-0.9362112283706665,-0.9156588315963745,0.885063673959446,0.12143424259718419,0.013957205699637697,378.4320000000002,0.03688167411751039
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,50,tensor([10]),PAIR_8,-0.8346263766288757,0.13828182220458984,0.8545109483336237,1.374933907155995,0.20003783025607114,422.5250000000002,0.4734343062684363
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,50,tensor([10]),PAIR_9,-1.4881274700164795,-0.20582987368106842,0.968469279796564,0.6225441068157237,0.019629264046304527,337.38300000000004,0.05818095175602957
Resmetirom,,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,50,tensor([10]),PAIR_10,-1.4097131490707397,0.15759140253067017,0.9620318124447105,1.437445549338841,0.05457720221781329,435.2270000000001,0.12539939437997477
BAY2413555,,C[C@H](NC(=O)c1cn(-c2c(F)cc(F)cc2F)c2nc(N3C[C@@H](O)[C@H](O)C3)c(F)cc2c1=O)C(F)(F)C(F)(F)F,50,tensor([10]),PAIR_11,-1.26887845993042,-0.4702371060848236,0.9471050608794057,0.33865921231208534,0.01791335841787617,584.3950000000003,0.03065282628680286
NVP-DFV890,,CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,50,tensor([10]),PAIR_12,-1.2667598724365234,-0.018258802592754364,0.9468415018683978,0.9588290806109687,0.050969913890184064,420.56000000000034,0.12119534404171586
AZD4144,,OC[C@@H](O)CNc1nnc(-c2ccc(C(F)(F)F)cc2O)c2ccccc12,50,tensor([10]),PAIR_13,-1.7332385778427124,-0.42643746733665466,0.9824999698694268,0.3745954799495722,0.006555432185894049,379.3380000000001,0.017281243075816414
JT001,Renal and urinary disorders,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,50,tensor([10]),PAIR_14,-1.546609878540039,0.5558323264122009,0.9725678734536686,3.596104689683928,0.09864879892126542,402.47600000000017,0.24510479859983048
sovleplenib,,CS(=O)(=O)N1CCC(c2ccc(-c3cc4nccnc4c(NC[C@@H]4CNCCO4)n3)cc2)CC1,50,tensor([10]),PAIR_15,-0.7442041039466858,-0.4110858738422394,0.8206035453817178,0.3880736238962741,0.06961903225786027,482.61000000000035,0.1442552625471089
STX-478,Off-target side effects hyperglycemia and rash,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,50,tensor([10]),PAIR_16,-1.7238267660140991,-0.47340723872184753,0.9820946487225174,0.33619616976623146,0.006019710517808551,401.2950000000001,0.015000711491069041
inavolisib,hyperglycemia and rash,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,50,tensor([10]),PAIR_17,-0.38246867060661316,-0.18099752068519592,0.5860795947201968,0.6591776583689523,0.27284708350346837,407.37700000000007,0.6697655574651203
alpelisib,hyperglycemia and rash,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,50,tensor([10]),PAIR_18,-0.8318261504173279,-0.31069502234458923,0.8535633641443982,0.48899562962563015,0.07160687495046915,441.4790000000001,0.16219769219027208
Duvelisib,"common severe side effects include neutropenia (30%), diarrhea (15%), anemia (13%), and colitis (12%)",C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,50,tensor([10]),PAIR_19,-1.2441545724868774,0.3833301365375519,0.9439478100471328,2.41729768726582,0.13549482913925032,416.8720000000002,0.32502741642338717
Idelalisib,has a higher rate of severe or potentially fatal liver toxicity,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,50,tensor([10]),PAIR_20,-1.4180078506469727,-0.04758166894316673,0.9627690323744879,0.8962276347725773,0.03336742205530715,415.43200000000013,0.08031981661332574
